Petition,State,Signatures Count
Use the Powers of the EU Withdrawal Act to withdraw our ART50 and Cancel Brexit.,rejected,6
Make those who want Brexit pay for it.,rejected,6
Make all MP's vote in the Brexit bills per their constituency vote on Brexit.,rejected,6
Smart Brexit:  Rejoin the European Free Trade Association,rejected,6
Prevent Post Brexit British Armed Forces integration into an EU defence force.,rejected,6
"Give us the Brexit we voted for.

We want Control",rejected,6
"No BREXIT transitional period, the UK should leave March 2019.",rejected,6
All party politics put aside & all unite to fight for GOOD UK DEAL in Brexit .,rejected,6
The government should terminate Brexit negotiations with the EU.,rejected,6
Brexit - it’s time to walk away and take the ‘no deal’ option,rejected,6
Stop MPs from in-house bickering and make them work together for a great Brexit,rejected,6
"Walk away from the Brexit talks, do not allow the EU to blackmail us.",rejected,6
Government to be open and accountable in all Brexit based plans and activities.,rejected,6
We need a public inquiry into Russian State interference in Brexit,rejected,6
Parliament should make it clear by how much Brexit will impoverish the UK.,rejected,6
Politicians to be held accountable for breaking election/brexit promises.,rejected,6
Make 29th March 2019 (Brexit day) a Bank Holiday.,rejected,6
It’s time for a second referendum re membership of the EU and Brexit,rejected,6
Do not use hard earned tax payers money to pay any brexit divorce bill.,rejected,6
do not pay the EU another penny for a Brexit deal.,rejected,6
Hold a Re-referendum on Brexit,rejected,6
Send Arlene Foster MLA to Brussels to negotiate Brexit on behalf of the UK.,rejected,6
‪Can we settle on this country remaining in EU the rest be Brexitland?,rejected,6
It is time for a second public referendum about Brexit!,rejected,6
The UK voting public demand a vote on the final Brexit Deal.,rejected,6
Make the day of Brexit a National Bank Holiday and call it Independence Day,rejected,6
Consider Jacob Rees Mogg for a more influential role in Brexit negotiations.,rejected,6
Put the Brexit process on hold,rejected,6
Aim to maintain freedom of movement for British citizens after Brexit,rejected,6
The government must hold another referendum on Brexit before we leave.,rejected,6
The UK should stop Brexit negotiations and leave the EU on WTO terms.,rejected,6
give the people proper brexit as we voted for,rejected,6
"Post-Brexit, all 53 Commonwealth nations should create a new trading group",rejected,6
Brexit must not continue until the UK government admit what stage we're at.,rejected,6
PM must be as tough on Brexit as she is to Russia on the Salisbury attack,rejected,6
Change the wording Disabled toilets to accesssble post brexit,rejected,6
We want new passports after Brexit to be made in UK,rejected,6
Award the new post brexit passport contract to a British company,rejected,6
Do not allow free movement of our borders during transition period after brexit.,rejected,6
Hold a second Brexit referendum,rejected,6
Invoke article 61 Magna Carta 1215 against MPs and Lords denying Brexit,rejected,6
Remove all MP`s from their positions who are trying to stop or frustrate Brexit.,rejected,6
Deselect MPs of ALL parties who refused to accept the majority vote on Brexit,rejected,6
"Provide factual summaries on effects of Brexit, to be made available to all.",rejected,6
Protect UK Citizens' EU / EEA Freedom of Movement rights in any Brexit deal,rejected,6
"Remove our prime minister Theresa May from office. 
For destroying Brexit.",rejected,6
Hold a general election due to the inadequate Brexit deal for the people.,rejected,6
Theresa may must resign over her bungling of brexit,rejected,6
Stop politicians walking away from brexit talks unless they walk out of career,rejected,6
Ask the prime minister too scrap her chequers brexit plans and take us out of EU,rejected,6
Bring a full brexit or Theresa May should resign,rejected,6
Theresa May should step down and be replaced by someone that believes in Brexit,rejected,6
Stop the governments proposal on brexit.,rejected,6
Introduce legislation to force the May Goverment to honour the Brexit Vote,rejected,6
Government Should Rethink Brexit Strategy,rejected,6
Should Theresa May resign if she cant give us the Brexit we voted for.,rejected,6
Cancel the UK summer recess for politicians in 2018 until Brexit is resolved.,rejected,6
Annul Brexit referendum pursuant to Venice Commission's code of good practice,rejected,6
New leader called for Brexit,rejected,6
ban or not publish any form of brexit austerity in the mainstream news,rejected,6
Do NOT hold a referendum on the final Brexit deal.,rejected,6
Refund the Brexit negotiating team's salaries back to the taxpayer.,rejected,6
Reject MP’s request for expenses budgets rise to cover Brexit costs,rejected,6
Give the people a say on the Brexit we want not the government white flag option,rejected,6
Scotland should be allowed to hold a second independence referendum after Brexit,rejected,6
"Second referendum on Brexit, as the NHS, jobs & environment will be affected",rejected,6
"Call general election with only 3 parties: Hard Brexit, Soft Brexit, No Brexit",rejected,6
All parties and MPs work together to get the best deal possible for Brexit,rejected,6
Stop media spread negativity about Brexit.,rejected,6
Give the electorate a referendum Final Say on Brexit,rejected,6
"Chuck Chequers, & replace Theresa May with a PM who will give us Brexit not BINO",rejected,6
Allow 16 year old’s to have a vote in important elections like BREXIT,rejected,6
"DECLARE THE 29TH MARCH ""BREXIT DAY"" AS A UK NATIONAL HOLIDAY! #BrexitDay",rejected,6
"We voted Leave.
Proposal from PM not Brexit. We could be tied to the EU forever",rejected,6
Bring the brexit deal back to the vote of the public because of broken promises,rejected,6
Hold a second Brexit referendum.,rejected,6
"Post Brexit, UK exporters to EU reimbursed WTO tariffs out of tariffs on imports",rejected,6
Accept the Brexit deal,rejected,6
No to the prime minister Brexit plan,rejected,6
"No deal on Brexit.
Make us free of All EU rule.",rejected,6
Take sky news off air for misleading the public over brexit they're one sided,rejected,6
debate on having a peoples vote so people can have the final say on Brexit.,rejected,6
Renegotiate the Brexit deal immediately in the event MPs vote against it,open,6
Mp's should read all of the EU Brexit paper and allowed a 'free' vote,rejected,6
"Make MP's aware, that they are not representing our interest iro Brexit",rejected,6
Make it that there will not be a second referendum on Brexit.,rejected,6
Any BREXIT referendum should be hard remain vs hard brexit,rejected,6
"Stop the Brexit process NOW.
If you want all this nonsense to stop, sign now!",rejected,6
A re-vote for Brexit.,rejected,6
Cancel the Christmas recess and sort out the uncertainty over Brexit.,rejected,6
A 2nd Brexit referendum now we have the details of the agreement with the EU,rejected,6
Approach Prince Charles to Source Brexit Negotiators to act on the UKs Behalf .,rejected,6
New Brexit Petition,rejected,6
"Instead of celebrating Brexit with a 50p coin, bring back the Royal Tournament.",rejected,6
The house to debate whether the will of the people has changed regarding brexit.,rejected,6
Have a 3rd refurendum if there's a second and brexiteers lose.,rejected,6
Oppose a 2nd REFERENDUM ON BREXIT!!,rejected,6
I would like to see parliament dissolved if Brexit isn't carried out.,rejected,6
Protect the EU citizenship of those who voted against Brexit,rejected,6
Theresa May must resign and let somebody who believes in Brexit lead our nation.,rejected,6
Extend the Brexit date to 29.03.2021 to negate the backstop & agree trading deal,rejected,6
Pay and expenses of MPs will be used to make preparations for a no deal brexit.,rejected,6
Force MP’s to vote For BREXIT if this was majority vote in their constituencies,rejected,6
Require the UK government to formally admit that Brexit is racist,rejected,6
A second EU referendum based on what we now know are the consequences of Brexit,rejected,6
To Stop MP’s Interfering to stop a NO Deal Brexit,rejected,6
Allow ALL MP's a free vote on current Brexit Deal,rejected,6
Refuse to vote in future elections if Brexit referendum is not honoured,rejected,6
Prevent MPs blocking No deal Brexit.,rejected,6
Allow 16 & 17 year olds to vote if there is another Brexit referendum.,rejected,6
Give the people a second referendum on Brexit.,rejected,6
Hold a second Brexit referendum,rejected,6
A people's vote to accept a no deal 'hard brexit.,rejected,6
Replace MP's in Leave constituencies that can't support constructive Brexit.,rejected,6
The UK people wish our government to carry out BREXIT on a NO DEAL/WTO basis,rejected,6
To bring treason against parliament over brexit,rejected,6
Referendum on Brexit,rejected,6
Put up for re-election all MPs who failed to honour 2017 GE manifesto re brexit,rejected,6
